old_path,new_path,ownership_type,interface_or_component,atlas_group,packing_policy,notes_cn
assets/runtime/ui/battle/blocks/atlas_regions/block_blue.tres,assets/runtime/ui/components/board_tiles/atlas_regions/block_blue.tres,component,board_tiles,atlas_ui_component_board_tiles,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/blocks/atlas_regions/block_green.tres,assets/runtime/ui/components/board_tiles/atlas_regions/block_green.tres,component,board_tiles,atlas_ui_component_board_tiles,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/blocks/atlas_regions/block_purple.tres,assets/runtime/ui/components/board_tiles/atlas_regions/block_purple.tres,component,board_tiles,atlas_ui_component_board_tiles,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/blocks/atlas_regions/block_red.tres,assets/runtime/ui/components/board_tiles/atlas_regions/block_red.tres,component,board_tiles,atlas_ui_component_board_tiles,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/blocks/atlas_regions/block_yellow.tres,assets/runtime/ui/components/board_tiles/atlas_regions/block_yellow.tres,component,board_tiles,atlas_ui_component_board_tiles,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/blocks/atlases/block_tiles_sheet.png,assets/runtime/ui/components/board_tiles/atlases/block_tiles_sheet.png,component,board_tiles,atlas_ui_component_board_tiles,EXISTING_ATLAS_SHEET,现有运行图集原图；必须与全部 AtlasTexture 区域资源原子迁移。
assets/runtime/ui/battle/board/imprints/combat_skill_placeholder.png,assets/runtime/ui/interfaces/battle/energy_hud/icons/combat_skill_placeholder.png,interface,battle,atlas_ui_interface_battle,PACK_CANDIDATE,按当前真实消费者归入对应界面或共用模块。
assets/runtime/ui/battle/board/text/atlas_regions/letter_a.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_a.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_b.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_b.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_c.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_c.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_d.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_d.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_e.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_e.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_f.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_f.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_g.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_g.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_h.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_h.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_i.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_i.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_j.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_j.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_k.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_k.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_l.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_l.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_m.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_m.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_n.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_n.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_o.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_o.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_p.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_p.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_q.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_q.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_r.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_r.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_s.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_s.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_t.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_t.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
assets/runtime/ui/battle/board/text/atlas_regions/letter_u.tres,assets/runtime/ui/components/board_glyphs/atlas_regions/letter_u.tres,component,board_glyphs,atlas_ui_component_board_glyphs,EXISTING_ATLAS_REGION,现有 AtlasTexture 区域资源；必须与图集原图及消费者引用原子迁移。
