"output_atlas","source_path","x","y","width","height","sha256","provenance"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_00.png","4","4","320","320","4680b0c26ca4aa84b44ce0be17c155af56b85ae34d008d2c2400b9d1d6f12c2b","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_01.png","332","4","320","320","21b3f272bee56ecfa1ccd91060ae8306355bbaf8389717c5fef3e1c07d8395d5","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_02.png","660","4","320","320","87d1ae23ec9edf08e6782c8b168c0194cbaa1f0f89a77e1848bac4df84741dd6","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_03.png","988","4","320","320","6fe0c0f2725f97593c1bbc4d95a8b3669de7be39ae777c278bcc278103a94784","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_04.png","1316","4","320","320","f54fd34da57647c931910bafe7a6d026dfe671bc9cc54885355d7adf436b15c2","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_05.png","1644","4","320","320","e0bb0ed1c685a3882f48e7222f6b582f126fe8515cf4f932e74b6516ca1c2a48","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_06.png","4","332","320","320","0d1bdcfcaed547c7e47ab3b2c37956ad4bed0d8bf8fbff62994c51c82660590e","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_07.png","332","332","320","320","3478b54c80e92cacaf5a95f6d6a0d8f80b154963a8369468167746bef98940e2","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_08.png","660","332","320","320","88971e228fc5ec2173b150480313ca2309bf825b021ee57e229f73656f58623c","lossless_crop_from_current_runtime_atlas"
"assets/runtime/characters/monsters/atlases/slime_stage_01_walk_sheet.png","art/production/characters/runtime_atlas_sources/2026-08-20/slime_stage_01/walk/frame_09.png","988","332","320","320","6290e8c3bd5060b48a4ab1f944d9ec3a4643b28d9cf34c7f6f0e17127a407421","lossless_crop_from_current_runtime_atlas"
